Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,304.0,304.27,277.18,279.18,13696168.0,0.0,1.0,304.0,304.27,277.18,279.18,13696168.0
2018-03-26,307.34,307.59,291.36,304.18,8324639.0,0.0,1.0,307.34,307.59,291.36,304.18,8324639.0
2018-03-23,311.25,311.61,300.45,301.54,6600538.0,0.0,1.0,311.25,311.61,300.45,301.54,6600538.0
2018-03-22,313.89,318.82,308.18,309.1,4914307.0,0.0,1.0,313.89,318.82,308.18,309.1,4914307.0
2018-03-21,310.25,322.44,310.19,316.53,5927881.0,0.0,1.0,310.25,322.44,310.19,316.53,5927881.0
2018-03-20,314.87,316.25,308.76,310.55,4726182.0,0.0,1.0,314.87,316.25,308.76,310.55,4726182.0
2018-03-19,316.5,320.75,309.67,313.56,7440766.0,0.0,1.0,316.5,320.75,309.67,313.56,7440766.0
2018-03-16,325.96,327.4,319.07,321.35,6058612.0,0.0,1.0,325.96,327.4,319.07,321.35,6058612.0
2018-03-15,329.38,332.85,321.1,325.6,6366922.0,0.0,1.0,329.38,332.85,321.1,325.6,6366922.0
2018-03-14,336.76,339.81,323.93,326.63,7932511.0,0.0,1.0,336.76,339.81,323.93,326.63,7932511.0
2018-03-13,344.92,345.12,336.2635,341.84,5932110.0,0.0,1.0,344.92,345.12,336.2635,341.84,5932110.0
2018-03-12,328.61,347.21,326.5,345.51,8212156.0,0.0,1.0,328.61,347.21,326.5,345.51,8212156.0
2018-03-09,324.1,328.49,322.37,327.17,5479716.0,0.0,1.0,324.1,328.49,322.37,327.17,5479716.0
2018-03-08,332.86,333.3,326.274,329.1,3476944.0,0.0,1.0,332.86,333.3,326.274,329.1,3476944.0
2018-03-07,325.44,332.5,321.74,332.3,5007297.0,0.0,1.0,325.44,332.5,321.74,332.3,5007297.0
2018-03-06,333.75,336.37,327.03,328.2,4285744.0,0.0,1.0,333.75,336.37,327.03,328.2,4285744.0
2018-03-05,332.39,337.75,329.2929,333.35,3823769.0,0.0,1.0,332.39,337.75,329.2929,333.35,3823769.0
2018-03-02,326.98,335.22,322.97,335.12,5092829.0,0.0,1.0,326.98,335.22,322.97,335.12,5092829.0
2018-03-01,345.01,348.67,330.07,330.93,6885601.0,0.0,1.0,345.01,348.67,330.07,330.93,6885601.0
2018-02-28,352.57,355.24,342.22,343.06,6042895.0,0.0,1.0,352.57,355.24,342.22,343.06,6042895.0
2018-02-27,356.25,359.99,350.01,350.99,4761537.0,0.0,1.0,356.25,359.99,350.01,350.99,4761537.0
2018-02-26,353.5,359.0,352.355,357.42,4312871.0,0.0,1.0,353.5,359.0,352.355,357.42,4312871.0
2018-02-23,347.83,354.99,347.1,352.05,5790795.0,0.0,1.0,347.83,354.99,347.1,352.05,5790795.0
2018-02-22,335.53,347.44,334.7501,346.17,6940349.0,0.0,1.0,335.53,347.44,334.7501,346.17,6940349.0
2018-02-21,336.03,339.6929,333.17,333.3,3181755.0,0.0,1.0,336.03,339.6929,333.17,333.3,3181755.0
2018-02-20,334.47,340.84,331.5,334.77,3996951.0,0.0,1.0,334.47,340.84,331.5,334.77,3996951.0
2018-02-16,332.5,343.12,331.64,335.49,5585810.0,0.0,1.0,332.5,343.12,331.64,335.49,5585810.0
2018-02-15,324.5,334.12,322.4,334.065,5892048.0,0.0,1.0,324.5,334.12,322.4,334.065,5892048.0
2018-02-14,320.84,326.17,318.52,322.31,3930911.0,0.0,1.0,320.84,326.17,318.52,322.31,3930911.0
2018-02-13,315.02,324.19,312.5105,323.66,4506915.0,0.0,1.0,315.02,324.19,312.5105,323.66,4506915.0
2018-02-12,316.13,318.08,306.25,315.73,6166161.0,0.0,1.0,316.13,318.08,306.25,315.73,6166161.0
2018-02-09,319.93,320.9845,294.76,310.11,12795099.0,0.0,1.0,319.93,320.9845,294.76,310.11,12795099.0
2018-02-08,343.31,348.62,314.6,315.36,9996464.0,0.0,1.0,343.31,348.62,314.6,315.36,9996464.0
2018-02-07,338.99,346.0,335.66,345.0,5846823.0,0.0,1.0,338.99,346.0,335.66,345.0,5846823.0
2018-02-06,325.21,336.22,323.5,333.63,4937928.0,0.0,1.0,325.21,336.22,323.5,333.63,4937928.0
2018-02-05,337.97,344.47,333.0,333.7,4053777.0,0.0,1.0,337.97,344.47,333.0,333.7,4053777.0
2018-02-02,348.44,351.95,340.51,343.79,3674909.0,0.0,1.0,348.44,351.95,340.51,343.79,3674909.0
2018-02-01,351.0,359.66,348.63,349.25,4163194.0,0.0,1.0,351.0,359.66,348.63,349.25,4163194.0
2018-01-31,347.51,356.19,345.19,354.42,6076998.0,0.0,1.0,347.51,356.19,345.19,354.42,6076998.0
2018-01-30,345.14,348.27,342.17,345.82,4696465.0,0.0,1.0,345.14,348.27,342.17,345.82,4696465.0
2018-01-29,339.85,350.85,338.28,349.53,4722025.0,0.0,1.0,339.85,350.85,338.28,349.53,4722025.0
2018-01-26,341.5,344.0,335.71,342.85,4515013.0,0.0,1.0,341.5,344.0,335.71,342.85,4515013.0
2018-01-25,348.27,349.2,336.4,337.64,6640964.0,0.0,1.0,348.27,349.2,336.4,337.64,6640964.0
2018-01-24,354.58,354.75,343.52,345.7404,5251654.0,0.0,1.0,354.58,354.75,343.52,345.7404,5251654.0
2018-01-23,360.0,360.5,351.0,352.79,5428872.0,0.0,1.0,360.0,360.5,351.0,352.79,5428872.0
2018-01-22,349.4,357.83,349.2,351.56,6157941.0,0.0,1.0,349.4,357.83,349.2,351.56,6157941.0
2018-01-19,345.0,350.5899,342.6,350.02,4812052.0,0.0,1.0,345.0,350.5899,342.6,350.02,4812052.0
2018-01-18,345.67,352.3,343.74,344.57,5619990.0,0.0,1.0,345.67,352.3,343.74,344.57,5619990.0
2018-01-17,340.47,349.0,339.75,347.16,7062337.0,0.0,1.0,340.47,349.0,339.75,347.16,7062337.0
2018-01-16,337.54,345.0,334.8,340.06,6392397.0,0.0,1.0,337.54,345.0,334.8,340.06,6392397.0
2018-01-12,338.63,340.41,333.67,336.22,4805025.0,0.0,1.0,338.63,340.41,333.67,336.22,4805025.0
2018-01-11,335.24,344.8099,333.26,337.95,6619082.0,0.0,1.0,335.24,344.8099,333.26,337.95,6619082.0
2018-01-10,332.2,337.0,330.0,334.8,4236168.0,0.0,1.0,332.2,337.0,330.0,334.8,4236168.0
2018-01-09,335.16,338.8,327.405,333.69,7109115.0,0.0,1.0,335.16,338.8,327.405,333.69,7109115.0
2018-01-08,316.0,337.0199,315.5,336.41,9777059.0,0.0,1.0,316.0,337.0199,315.5,336.41,9777059.0
2018-01-05,316.62,317.24,312.0,316.58,4578729.0,0.0,1.0,316.62,317.24,312.0,316.58,4578729.0
2018-01-04,312.87,318.55,305.68,314.62,9915932.0,0.0,1.0,312.87,318.55,305.68,314.62,9915932.0
2018-01-03,321.0,325.25,315.55,317.25,4185665.0,0.0,1.0,321.0,325.25,315.55,317.25,4185665.0
2018-01-02,312.0,322.1099,311.0,320.53,4326988.0,0.0,1.0,312.0,322.1099,311.0,320.53,4326988.0
